iSchools iConference,iSchools
Dan Perkel,Rachelle Annechino
Dan Perkel,Geoffrey Nunberg
Dan Perkel,danah boyd
Dan Perkel,Ryan McAdam
Lazar Stojkovic,iSchools
Lazar Stojkovic,Ryan McAdam
Mike Lissner,Free Law Project
Mike Lissner,Brian W. Carver
Prabha Matta,Kim Norlen
Prabha Matta,div
Big Ideas@Berkeley,CITRIS
Big Ideas@Berkeley,UC Berkeley News
Peter Sw,Jason Ost
Peter Sw,ManoMarks
Erik Wilde,Nick Doty
Erik Wilde,Yiming
Joseph Lorenzo Hall,Galen Panger
Joseph Lorenzo Hall,ashkan soltani
Joseph Lorenzo Hall,Emily Barabas
Claire@Berkeley,UC Berkeley News
Arthur Che,Ryan McAdam
David Thaw,The Tweetserve
R. Stuart Geiger,Jess Hemerly
R. Stuart Geiger,Jenna Burrell
R. Stuart Geiger,Matt Senate
R. Stuart Geiger,Leslie Tom
Epub.js,Jake Hartnell
Epub.js,FuturePress
Data Just Right,Michael Manoochehri
Brian W. Carver,Free Law Project
ashkan soltani,Corey Hyllested
ashkan soltani,Emily Barabas
Geoffrey Nunberg,iSchools
AJ Renold,Gilbert Hernandez
AJ Renold,Isha Dandavate
AJ Renold,I School Hackathon
AJ Renold,InfoCamp Berkeley
raymonst,Michael Porath
raymonst,Shreyas
Jason Ost,Shreyas
Cal New Media,D-Lab
Cal New Media,berkeleyByte
Cal New Media,Raymond Yee
Kelsey Clubb,iSchools
Kelsey Clubb,Milad
Michael Manoochehri,danah boyd
Berkeley Carillon,Nick Doty
Ryan Shaw,Bob Glushko
Ryan Shaw,Jess Hemerly
Rachelle Annechino,danah boyd
Rachelle Annechino,ethnographymatters
Galen Panger,Brian Bloomer
Galen Panger,X to the M
picatcha,Satish Polisetti
Sebastian Benthall,The Tweetserve
Nathan Gandomi,Michael Porath
Dhawal Mujumdar,Prayag Narula
Dhawal Mujumdar,Satish Polisetti
iSchools,danah boyd
ruchita rathi,Robyn Perry
ethnographymatters,danah boyd
Ariel Chait,Acopio
Ariel Chait,Paul D Goodman
Airi Lampinen,Mohit Gupta
Airi Lampinen,Prayag Narula
Airi Lampinen,Nick Doty
Airi Lampinen,Sarita Y Schoenebeck
Airi Lampinen,&#50976;&#46041;&#44540; Travis Yoo
Michael Porath,Kate Hsiao
Michael Porath,Shreyas
Michael Porath,Yo-Shang
D-Lab,Raymond Yee
D-Lab,Working w/ Open Data
Leslie Tom,Elizabeth Goodman
Sarah Van Wart,Tapan Parikh
MobileWorks,Prayag Narula
Dave Lester,Kim Norlen
Thejo Kote,Mohit Gupta
Thejo Kote,Roy Bahat
Morgan Wallace,Gilbert Hernandez
Cal,CITRIS
Cal,UC Berkeley News
CITRIS,UC Berkeley News
Jim,Shreyas
Jess Hemerly,Niranjan K
Jess Hemerly,Bob Glushko
Jess Hemerly,Jenna Burrell
Isha Dandavate,Gilbert Hernandez
Isha Dandavate,Seema Hari
Isha Dandavate,InfoCamp Berkeley
Working w/ Open Data,Raymond Yee
datascience@berkeley,Andy Brooks
datascience@berkeley,2U
datascience@berkeley,Anno Saxenian
Shreyas,Divya
TDO-Book,Bob Glushko
Anne Wootton,Pop Up Archive
Anne Wootton,Bailey Smith
Morten T. Hansen,Saghar
"South Hall, Berkeley",Transporter
Bailey Smith,Pop Up Archive
Anno Saxenian,Andy Brooks
Corey Hyllested,The Tweetserve
InfoCamp Berkeley,Seema Hari
InfoCamp Berkeley,Gilbert Hernandez
Acopio,Paul D Goodman
NextDrop,Tapan Parikh
Jenna Burrell,Ishita Ghosh
Mohit Gupta,Nick Doty
Paul D Goodman,Tapan Parikh
Alex Smolen,Kim Norlen
LindsayT,Gilbert Hernandez
LindsayT,Max Gutman
Kim Norlen,Jez Humble
Gilbert Hernandez,Shaun Guice
Gilbert Hernandez,Seema Hari
FuturePress,Jake Hartnell
Seema Hari,I School Hackathon
